127.0.0.1 - - [25/Jun/2022:00:08:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:08:40 +0900] "GET /jsp/todo/list.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:08:40 +0900] "GET /jsp/todo/css/todo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:08:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:08:43 +0900] "GET /jsp/todo/add.jsp HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:10:06 +0900] "GET /jsp/todo/add.jsp HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:10:09 +0900] "GET /jsp/todo/addok.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:10:59 +0900] "GET /jsp/todo/addok.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:04 +0900] "GET /jsp/todo/list.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:07 +0900] "GET /jsp/todo/add.jsp HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:08 +0900] "GET /jsp/todo/list.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:09 +0900] "GET /jsp/todo/add.jsp HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:10 +0900] "GET /jsp/todo/addok.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:13:37 +0900] "GET /jsp/todo/addok.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:17:46 +0900] "GET /jsp/todo/addok.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:21:06 +0900] "GET /jsp/todo/list.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [25/Jun/2022:00:21:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
